// Data from Professor Shavlik's CS CS540 (UW-Madison)
// This dataset is used to predict the quality of red wine based on various physicochemical properties.

// The structure of this dataset is described below.
// (we're using a very restricted design for simplicity).

// You can visit
//    http://archive.ics.uci.edu/ml/datasets/Wine+Quality
// to see more about this dataset.

// NOTE: Your code should handle both Windows-formatted and Linux-formatted files
// (which, unfortunately, differ in how the end of line is represented).

// Your code should HANDLE ANY AMOUNT OF 'white space,' including blank lines, BETWEEN TOKENS.

// Note that you only need to handle '//' comments (ie, there will be no "/* */" comments.
// It is easy in Java to the contents of a string BEFORE any '//' (might get the empty string,
// which should also be ignored).

// For simplicity, this dataset contains 20 boolean-valued features which were derived 
// from the original 11 real-valued features. The boolean-valued features were generated
// by normalizing (range 0-100) and discretizing the real-valued features. The threshold
// values appear in the feature name. For example, fixedAcidityGt47 is T if the fixedAcidity 
// of the example is greater than 47, and F if the fixedAcidity of the example is less than 47.

// The number of features:
20

// Next are the feature names followed by a dash and then the legal values of this feature
// In the CS 540 programming HWs related to decision trees, we will assume that all features have
// two possible values, though they might have names other than the T and F used here (eg,
// might have: "size - small big" in some other testbed used during grading).

fixedAcidityGt47 - T F

volatileAcidityGt17 - T F
volatileAcidityGt29 - T F

citricAcidGt30 - T F

residualSugarGtMean - T F

chloridesGt9 - T F

freeSulfurDioxideGtMean - T F

totalSulfurDioxideGt27 - T F
totalSulfurDioxideGt37 - T F
totalSulfurDioxideGt54 - T F

densityGt18 - T F
densityGt41 - T F

pHGtMean - T F

sulphatesGt12 - T F
sulphatesGt15 - T F
sulphatesGt19 - T F
sulphatesGt44 - T F

alcoholGt22 - T F
alcoholGt33 - T F
alcoholGt47 - T F

// The original class label was a rating of the wine on a scale from 0-10. In this dataset, ratings  
// from 0-5 are combined into "lowToMid" and ratings from 6-10 are combined into "midToHigh".
// Assume that for CS 540 HWs, only two values are possible for the class label.
lowToMid
midToHigh

// The number of examples (will read this many in; ok to have more in the file)
71

// The examples (as mentioned above, we assume, for simplicity, that all features are BOOLEAN-VALUED, 
// *though the names of the two values might differ across datasets*)

//   First is the example's name, then its category, finally followed
//   by the values of all of its features (listed in the order of the
//   feature names above, will be separated by "whitespace"). 
//   The (boring) names are simply used to concisely identify the examples.
//   Your decision-tree learner should NOT use these names as a feature (what would happen if you did?).

trainEx709 midToHigh F T T F T T T F F F T F T T T T F T T T
trainEx710 lowToMid F T T T F T F T F F T T F T T F F F F F
trainEx711 lowToMid T T T T F F F F F F T T F T F F F T F F
trainEx712 lowToMid F T T F F T F F F F T T F T F F F F F F
trainEx713 midToHigh F T T F F T F F F F T T T T F F F F F F
trainEx714 midToHigh F F F T F T F F F F T F F T F F F T T T
trainEx715 lowToMid F T T F F T T T F F T F T T F F F T F F
trainEx716 lowToMid F T F F F T T T T F T F F T F F F F F F
trainEx717 lowToMid T T T T T T T F F F T T F F F F F T F F
trainEx718 midToHigh F T F F F F F F F F F F F T F F F T T T
trainEx719 midToHigh F T T F T T F F F F T F T T T F F T T F
trainEx720 lowToMid F T T F F T F F F F T T T T F F F F F F
trainEx721 midToHigh F T F F F T F F F F T T F F F F F F F F
trainEx722 lowToMid F T T F F F F F F F T T T T T T F F F F
trainEx723 lowToMid F T T F T T F F F F T T T F F F F T F F
trainEx724 lowToMid F T T F F T F F F F T T T T T T F F F F
trainEx725 lowToMid F T T T F T F T F F T T F T T F F F F F
trainEx726 midToHigh F F F T F F F F F F T F T T F F F T T T
trainEx727 midToHigh T F F T F F F F F F T F F T T T F T T T
trainEx728 lowToMid F T F F F T F F F F T T F T T T F F F F
trainEx729 midToHigh F T F T F T T F F F T F F T T T F T T T
trainEx730 midToHigh F T T F F F F F F F T F T T T T F T T F
trainEx731 lowToMid F T T F T T T F F F T T F T F F F F F F
trainEx732 lowToMid F T F T F T T F F F T T T T F F F F F F
trainEx733 lowToMid T T F T F T F F F F T T F F F F F F F F
trainEx734 midToHigh T T F T F T T F F F T T F T T T F T F F
trainEx735 midToHigh F F F T F F T F F F T F F T T T F T T F
trainEx736 midToHigh F T F F F F T T F F F F T T T T F T T T
trainEx737 lowToMid F T T F T T T T F F T T F F F F F F F F
trainEx738 midToHigh T T F T T T T F F F T T F T T T F T T T
trainEx739 midToHigh F F F T F F F F F F T F T T F F F T T T
trainEx740 midToHigh F T T F F T F F F F T T F T F F F F F F
trainEx741 midToHigh F F F T F F F F F F T T T T T T F F F F
trainEx742 midToHigh F F F T F F T F F F T F T T T T F T T T
trainEx743 lowToMid F T T F T F F F F F T T F F F F F T F F
trainEx744 midToHigh T T T T T T F F F F T T F T T T F T T F
trainEx745 midToHigh F T T F T T F F F F T T T F F F F T T F
trainEx746 lowToMid F T T F F T T F F F T T T T T F F T F F
trainEx747 lowToMid T T F T T T F F F F T T F T T F F T T F
trainEx748 lowToMid F T F F F T T F F F T T F T F F F T F F
trainEx749 midToHigh F F F T F T T F F F T F F T F F F T T F
trainEx750 midToHigh T F F T F F F F F F T F F F F F F T T T
trainEx751 lowToMid F T T F F T F F F F T F T F F F F F F F
trainEx752 lowToMid F T T F F T F F F F T T T F F F F F F F
trainEx753 lowToMid F F F T F T T T F F T T F T F F F F F F
